Instrument: Cary 60 UV-Vis
Operator: T. Churchill
Date: 2026-06-30

Wavelength (nm)	Abs
429.0	0.4834
430.0	0.4818
431.0	0.5141
432.0	0.4933
433.0	0.5168
434.0	0.5185
435.0	0.5352
436.0	0.5380
437.0	0.5406
438.0	0.5452
439.0	0.5917
440.0	0.5668
441.0	0.5534
442.0	0.5726
443.0	0.5907
444.0	0.5831
445.0	0.6053
446.0	0.6047
447.0	0.5955
448.0	0.5939
449.0	0.5896
450.0	0.5930
451.0	0.5849
452.0	0.6107
453.0	0.6129
454.0	0.5821
455.0	0.5799
456.0	0.5704
457.0	0.5742
458.0	0.5480
459.0	0.5622
460.0	0.5805
461.0	0.5575
462.0	0.5624
463.0	0.5413
464.0	0.5557
465.0	0.5315
466.0	0.5166
467.0	0.5365
468.0	0.4979
469.0	0.4788
470.0	0.4825
471.0	0.4692
472.0	0.4692
473.0	0.4380
474.0	0.4437
475.0	0.4325
476.0	0.4055
477.0	0.4018
478.0	0.3798
479.0	0.3995
480.0	0.3569
481.0	0.3473
482.0	0.3290
483.0	0.3242
484.0	0.3156
485.0	0.3115
486.0	0.2859
487.0	0.2786
488.0	0.2548
489.0	0.2495
490.0	0.2742
491.0	0.2462
492.0	0.2174
493.0	0.2014
494.0	0.1949
495.0	0.1946
496.0	0.1855
497.0	0.1684
498.0	0.1540
499.0	0.1723
500.0	0.1541
501.0	0.1377
502.0	0.1314
503.0	0.1207
504.0	0.0894
505.0	0.1129
506.0	0.0944
507.0	0.0887
508.0	0.0862
509.0	0.0941
510.0	0.0695
511.0	0.0616
512.0	0.0773
513.0	0.0737
514.0	0.0521
515.0	0.0630
516.0	0.0504
517.0	0.0526
518.0	0.0334
519.0	0.0509
520.0	0.0515
521.0	0.0428
522.0	0.0393
523.0	-0.0066
524.0	0.0312
525.0	0.0261
526.0	0.0228
527.0	0.0160
528.0	0.0210
529.0	0.0228
530.0	0.0145
531.0	0.0110
532.0	0.0266
533.0	0.0020
534.0	0.0222
535.0	0.0126
536.0	0.0018
537.0	0.0061
538.0	-0.0011
539.0	0.0141
540.0	0.0101
541.0	0.0005
542.0	-0.0056
543.0	0.0079
544.0	0.0140
545.0	0.0028
546.0	0.0078
547.0	-0.0005
548.0	0.0036
549.0	-0.0003
550.0	0.0053
551.0	-0.0130
552.0	0.0083
553.0	-0.0006
554.0	0.0051
555.0	-0.0021
556.0	0.0044
557.0	-0.0097
558.0	0.0128
559.0	-0.0162
560.0	-0.0097
561.0	0.0030
562.0	0.0152
563.0	0.0033
564.0	-0.0020
565.0	-0.0139
566.0	-0.0016
567.0	0.0001
568.0	0.0172
569.0	0.0065
570.0	-0.0151
571.0	0.0204
572.0	-0.0038
573.0	-0.0087
574.0	0.0149
575.0	-0.0004
576.0	-0.0036
577.0	0.0023
578.0	0.0085
579.0	0.0100
580.0	-0.0137
581.0	0.0200
582.0	0.0095
583.0	-0.0038
584.0	-0.0082
585.0	-0.0097
586.0	0.0013
587.0	-0.0065
588.0	-0.0076
589.0	0.0081
590.0	0.0037
591.0	-0.0039
592.0	0.0074
593.0	0.0137
594.0	-0.0109
595.0	-0.0060
596.0	0.0094
597.0	0.0072
598.0	0.0023
599.0	0.0116
600.0	-0.0109
601.0	-0.0148
602.0	-0.0087
603.0	0.0012
604.0	-0.0080
605.0	-0.0049
606.0	-0.0097
607.0	-0.0062
608.0	-0.0100
609.0	0.0037
610.0	0.0079
611.0	-0.0048
612.0	-0.0021
613.0	-0.0058
614.0	0.0053
615.0	0.0009
616.0	0.0159
617.0	-0.0110
618.0	0.0036
619.0	0.0044
620.0	-0.0036
621.0	0.0058
622.0	-0.0144
623.0	0.0212
624.0	-0.0134
625.0	0.0092
626.0	-0.0112
627.0	0.0115
628.0	-0.0038
629.0	0.0016
630.0	0.0005
631.0	0.0110
632.0	-0.0032
633.0	-0.0297
634.0	-0.0076
635.0	0.0018
636.0	-0.0044
637.0	0.0077
638.0	0.0102
639.0	-0.0015
640.0	-0.0149
641.0	0.0138
642.0	0.0108
643.0	-0.0030
644.0	0.0211
645.0	-0.0035
646.0	-0.0114
647.0	-0.0016
648.0	0.0108
649.0	-0.0094
650.0	0.0195
651.0	-0.0090
652.0	0.0095
653.0	0.0054
654.0	-0.0015
655.0	0.0108
656.0	-0.0150
657.0	0.0136
658.0	-0.0006
659.0	-0.0054
660.0	0.0075
661.0	0.0106
662.0	0.0077
663.0	0.0200
664.0	0.0108
665.0	0.0128
666.0	-0.0054
667.0	0.0011
668.0	0.0056
669.0	-0.0002
670.0	0.0030
671.0	0.0043
672.0	0.0084
673.0	-0.0010
674.0	-0.0035
675.0	-0.0083
676.0	-0.0089
677.0	0.0117
678.0	-0.0008
679.0	0.0079
680.0	-0.0130
681.0	-0.0194
682.0	-0.0105
683.0	0.0115
684.0	0.0107
685.0	0.0033
686.0	-0.0080
687.0	-0.0013
688.0	-0.0030
689.0	-0.0034
690.0	-0.0251
691.0	-0.0086
692.0	-0.0019
693.0	0.0152
694.0	0.0016
695.0	0.0140
696.0	-0.0039
697.0	-0.0025
698.0	-0.0390
699.0	0.0046
700.0	0.0055
701.0	0.0176
702.0	-0.0049
703.0	0.0009
704.0	-0.0071
705.0	-0.0118
706.0	-0.0071
707.0	-0.0034
708.0	0.0136
709.0	0.0000
710.0	-0.0079
711.0	0.0014
712.0	0.0022
713.0	-0.0068
714.0	0.0114
715.0	-0.0189
716.0	-0.0021
717.0	0.0067
718.0	-0.0134
719.0	0.0036
720.0	0.0129
721.0	0.0045
722.0	-0.0169
723.0	-0.0073
724.0	0.0123
725.0	0.0030
726.0	-0.0001
727.0	0.0044
728.0	0.0072
729.0	-0.0071
730.0	-0.0029
731.0	0.0014
732.0	-0.0054
733.0	-0.0013
734.0	0.0130
735.0	-0.0097
736.0	0.0193
737.0	0.0188
738.0	-0.0171
739.0	-0.0014
740.0	0.0034
741.0	-0.0076
742.0	-0.0074
743.0	-0.0024
744.0	0.0074
745.0	-0.0051
746.0	0.0183
747.0	0.0029
748.0	-0.0010
749.0	0.0145
750.0	0.0063
751.0	0.0037
752.0	-0.0033
753.0	0.0181
754.0	0.0081
755.0	-0.0020
756.0	-0.0158
757.0	0.0037
758.0	-0.0114
759.0	-0.0172
760.0	-0.0028
761.0	0.0028
762.0	0.0128
763.0	0.0028
764.0	0.0081
765.0	-0.0123
766.0	-0.0002
767.0	0.0012
768.0	0.0086
769.0	0.0012
770.0	0.0080
771.0	-0.0050
772.0	0.0036
773.0	0.0041
774.0	-0.0125
775.0	0.0018
776.0	-0.0032
777.0	-0.0190
778.0	0.0096
779.0	-0.0036
780.0	-0.0085
781.0	-0.0038
782.0	0.0014
783.0	0.0151
784.0	-0.0017
785.0	0.0047
786.0	0.0137
787.0	0.0053
788.0	0.0107
789.0	-0.0048
790.0	0.0077
791.0	-0.0006
792.0	0.0107
793.0	-0.0100
794.0	-0.0078
795.0	0.0127
796.0	-0.0020
797.0	-0.0036
798.0	0.0008
799.0	-0.0069
